None,series_id,country_code,indicator_code,identifier,description,units,frequency,date,value
1,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2019-01-01,96.0
2,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2018-01-01,98.4
3,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2017-01-01,90.6
4,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2016-01-01,76.2
5,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2015-01-01,71.0
6,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2014-01-01,68.6
0,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2020-01-01,112.8
1,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2019-01-01,96.0
2,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2018-01-01,98.4
3,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2017-01-01,90.6
4,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2016-01-01,76.2
5,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2015-01-01,71.0
6,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2014-01-01,68.6
0,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2020-01-01,112.8
1,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2019-01-01,96.0
2,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2018-01-01,98.4
3,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2017-01-01,90.6
4,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2016-01-01,76.2
5,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2015-01-01,71.0
6,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2014-01-01,68.6
0,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2020-01-01,112.8
1,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2019-01-01,96.0
2,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2018-01-01,98.4
3,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2017-01-01,90.6
4,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2016-01-01,76.2
5,43693,US,008,US.008.M.01,United States: Building Permits [US: Housing Authorized by Building Permits: Total],th Unit,M,2015-01-01,71.0
